corrdor_margin_perc,min_margin_perc,max_margin_perc,rpm,Count_Corridor,OriginCluster,corridor
5.646333222,-45.49384769,53.307393,5.492861638,137,Hazleton PA Region,Hazleton PA Region-Newark Region
23.45610649,-9.418168887,59.89103732,2.034541581,136,Indianapolis Region,Indianapolis Region-Atlanta Region
22.39262804,-29.5381533,55.41379429,2.769709199,135,Springfield MO Region,Springfield MO Region-Dallas Region
6.340561845,-61.67775314,42.79358785,2.508273445,134,Milwaukee Region,Milwaukee Region-Minneapolis Region
8.192519347,-52.81173594,51.80722892,4.087770042,133,Newark Region,Newark Region-Boston Region
-4.026301678,-57.92133412,55.36046425,3.732673804,129,Chattanooga Region,Chattanooga Region-Atlanta Region
16.12856439,-29.29548328,44.82758621,2.606043522,128,Tampa Region,Tampa Region-Miami Region
6.24142153,-59.12305516,60,3.801325611,127,Tampa Region,Tampa Region-Orlando Region
9.98172932,-49.17086793,53.84615385,2.400036519,124,SC Region,SC Region-Atlanta Region
17.063641,-26.03063208,47.3278422,2.403497518,124,Chicago Region,Chicago Region-Kansas City Region
7.814728428,-62.91907904,47.40541268,4.771411583,123,Hartford CT Region,Hartford CT Region-South NY Region
25.79307,1.301991232,60.39589881,2.390141919,121,Chicago Region,Chicago Region-Nashville Region
6.897736819,-20.58570198,54.09015025,3.695305914,119,Philadelphia Region,Philadelphia Region-Boston Region
13.86064647,-22.74035015,63.09314429,2.458584077,118,Saint Louis Region,Saint Louis Region-Houston Region
22.46785259,-50.27715401,54.5669523,2.528319411,118,Dallas Region,Dallas Region-Montgomery AL Region
14.00604132,-35.13513514,62.5,1.902907053,117,Cleveland Region,Cleveland Region-Chicago Region
-1.10029126,-60.72002572,49.85178416,4.541059242,117,Houston Region,Houston Region-Houston Region
15.19138314,-53.78140378,55.38461538,4.141153221,117,Milwaukee Region,Milwaukee Region-Milwaukee Region
16.9295534,-30.21181121,56.00668793,2.393141175,116,Milwaukee Region,Milwaukee Region-Kansas City Region
7.303759312,-28.81064835,59.80566924,4.487363376,116,Newark Region,Newark Region-RI Region
8.663454568,-25.08069722,34.93934573,2.424226104,115,Savannah Region,Savannah Region-Miami Region
17.27964385,-44.4219788,58.90410959,4.613023276,113,Ontario CA Region,Ontario CA Region-San Diego Region
21.13039793,-27.82100968,63.49369137,3.681793687,112,Columbus OH Region,Columbus OH Region-Detroit Region
14.76339381,-47.81966001,49.74135904,2.465155817,111,Memphis Region,Memphis Region-Dallas Region
17.37866654,-37.72380118,61.77087187,1.853683985,111,Las Vegas Region,Las Vegas Region-Ontario CA Region
19.80239302,-9.122653863,62.67798001,3.518727052,110,Hazleton PA Region,Hazleton PA Region-Boston Region
10.6867646,-49.99625009,56.04395604,3.050812937,110,Atlanta Region,Atlanta Region-Greensboro NC Region
16.80222118,-64.47368421,57.35489588,1.881570855,108,Greensboro NC Region,Greensboro NC Region-Atlanta Region
-2.094705507,-63.11883207,53.90982015,1.94088949,106,Miami Region,Miami Region-Orlando Region
11.59547735,-53.52728948,64.75862069,2.537890042,106,West OH Region,West OH Region-Chicago Region
10.11263872,-62.78888802,61.22017936,2.538706791,105,Dallas Region,Dallas Region-Lubbock Region
1.477473238,-57.75899912,59.07708917,1.861799001,105,Dallas Region,Dallas Region-Phoenix Region
4.975547557,-53.0792855,57.23571673,3.226081684,103,Tracy Region,Tracy Region-Seattle Region
4.10061655,-37.90250293,31.50684932,1.895418001,103,Tracy Region,Tracy Region-Dallas Region
1.133736086,-63.1025734,55.55765048,3.257998182,102,Nashville Region,Nashville Region-Atlanta Region
20.05547318,-36.32553646,49.52380952,1.970372745,102,Detroit Region,Detroit Region-Milwaukee Region
11.53314697,-17.8,47.9245283,2.320989404,101,Minneapolis Region,Minneapolis Region-Detroit Region
15.66866322,-30.28523781,48.46072431,2.89762774,100,Bakersfield CA Region,Bakersfield CA Region-Ontario CA Region
11.717404,-32.13530655,64.24934947,7.151528,100,Philadelphia Region,Philadelphia Region-Elizabeth Region
16.03694978,-47.81767362,64.72797924,4.02478827,100,San Diego Region,San Diego Region-Ontario CA Region
11.22657226,-52.62515263,64.62274204,3.83996173,99,Dallas Region,Dallas Region-Longview TX Region
-15.5425781,-62.93533201,33.44449927,2.960805291,99,Dallas Region,Dallas Region-Albuquerque Region
13.76024964,-18.75099401,61.50885296,2.629338451,99,Hazleton PA Region,Hazleton PA Region-Pittsburgh Region
-6.988473124,-63.42956952,30.19726859,2.593271347,97,Houston Region,Houston Region-Denver Region
13.22958181,-16.45755961,58.88157895,3.512117773,97,York PA Region,York PA Region-Hartford CT Region
19.0151354,-26.486213,59.05809963,3.796193356,95,York PA Region,York PA Region-Cheshire CT Region
21.61004446,-33.33333333,54.54545455,2.280748917,94,South IN Region,South IN Region-Chicago Region
13.08299661,-62.13817586,60.57528543,2.305000988,94,Orlando Region,Orlando Region-Charlotte NC Region
-9.459934241,-62.05704408,40,1.83075578,94,Houston Region,Houston Region-Phoenix Region
19.87447572,-45.55967443,58.32427339,1.681002419,94,Elizabeth Region,Elizabeth Region-Charlotte NC Region
24.81843571,-7.52688172,55.2171966,2.531927017,94,Louisville KY Region,Louisville KY Region-Atlanta Region
21.70578994,-36.11121193,60,3.736348717,94,Chicago Region,Chicago Region-Plainfield IN Region
9.040101542,-47.97623864,49.13793103,1.708667741,93,Dallas Region,Dallas Region-Ontario CA Region
16.27405192,-17.75442315,45.71428571,3.125969447,92,Chicago Region,Chicago Region-Cincinnati Region
2.079078361,-41.51744438,44,2.507051106,92,Memphis Region,Memphis Region-Chicago Region
-15.43748548,-64.30853492,41.267161,2.838643461,91,Houston Region,Houston Region-Baton Rogue LA Region
15.26767873,-24.77980035,55.76923077,4.520614105,91,York PA Region,York PA Region-Philadelphia Region
22.43821018,-64.82222745,58.96563559,1.767034141,91,Tracy Region,Tracy Region-San Diego Region
